id,title,budget,popularity,release_date,revenue,vote_count,uid,director_id
43597,Avatar,237000000,150,2009-12-10,-1507002209,11800,19995,4762
43598,Pirates of the Caribbean: At World's End,300000000,139,2007-05-19,961000000,4500,285,4763
43599,Spectre,245000000,107,2015-10-26,880674609,4466,206647,4764
43600,The Dark Knight Rises,250000000,112,2012-07-16,1084939099,9106,49026,4765
43601,John Carter,260000000,43,2012-03-07,284139100,2124,49529,4766
43602,Spider-Man 3,258000000,115,2007-05-01,890871626,3576,559,4767
43603,Tangled,260000000,48,2010-11-24,591794936,3330,38757,4768
43604,Avengers: Age of Ultron,280000000,134,2015-04-22,1405403694,6767,99861,4769
43605,Harry Potter and the Half-Blood Prince,250000000,98,2009-07-07,933959197,5293,767,4770
43606,Batman v Superman: Dawn of Justice,250000000,155,2016-03-23,873260194,7004,209112,4771
43607,Superman Returns,270000000,57,2006-06-28,391081192,1400,1452,4772
43608,Quantum of Solace,200000000,107,2008-10-30,586090727,2965,10764,4773
43609,Pirates of the Caribbean: Dead Man's Chest,200000000,145,2006-06-20,1065659812,5246,58,4763
43610,The Lone Ranger,255000000,49,2013-07-03,89289910,2311,57201,4763
43611,Man of Steel,225000000,99,2013-06-12,662845518,6359,49521,4771
43612,The Chronicles of Narnia: Prince Caspian,225000000,53,2008-05-15,419651413,1630,2454,4774
43613,The Avengers,220000000,144,2012-04-25,1519557910,11776,24428,4769
43614,Pirates of the Caribbean: On Stranger Tides,380000000,135,2011-05-14,1045713802,4948,1865,4775
43615,Men in Black 3,225000000,52,2012-05-23,624026776,4160,41154,4776
43616,The Hobbit: The Battle of the Five Armies,250000000,120,2014-12-10,956019788,4760,122917,4777
43617,The Amazing Spider-Man,215000000,89,2012-06-27,752215857,6586,1930,4778
43618,Robin Hood,200000000,37,2010-05-12,310669540,1398,20662,4779
43619,The Hobbit: The Desolation of Smaug,250000000,94,2013-12-11,958400000,4524,57158,4777
43620,The Golden Compass,180000000,42,2007-12-04,372234864,1303,2268,4780
43621,King Kong,207000000,61,2005-12-14,550000000,2337,254,4777
43622,Titanic,200000000,100,1997-11-18,1845034188,7562,597,4762
43623,Captain America: Civil War,250000000,198,2016-04-27,1153304495,7241,271110,4781
43624,Battleship,209000000,64,2012-04-11,303025485,2114,44833,4782
43625,Jurassic World,150000000,418,2015-06-09,1513528810,8662,135397,4783
43626,Skyfall,200000000,93,2012-10-25,1108561013,7604,37724,4764
43627,Spider-Man 2,200000000,35,2004-06-25,783766341,4321,558,4767
43628,Iron Man 3,200000000,77,2013-04-18,1215439994,8806,68721,4784
43629,Alice in Wonderland,200000000,78,2010-03-03,1025491110,4645,12155,4785
43630,X-Men: The Last Stand,210000000,3,2006-05-24,459359555,3525,36668,4786
43631,Monsters University,200000000,89,2013-06-20,743559607,3528,62211,4787
43632,Transformers: Revenge of the Fallen,150000000,21,2009-06-19,836297228,3138,8373,4788
